fips,nchs
42095,3
42097,5
42099,3
42101,1
42103,3
42105,6
42107,5
42109,6
42111,4
42113,6
42115,6
42117,6
42119,6
42121,5
42123,5
42125,2
42127,6
42129,2
42131,3
42133,3
44001,3
44003,3
44005,5
44007,3
44009,3
45001,6
45003,3
45005,6
45007,3
45009,6
45011,6
45013,5
45015,3
45017,6
45019,3
45021,3
45023,6
45025,6
45027,6
45029,6
45031,6
45033,6
45035,3
45037,3
45039,6
45041,4
45043,6
45045,3
45047,5
45049,6
45051,4
45053,6
45055,6
45057,6
45059,6
45061,6
45063,3
45065,6
45067,6
45069,6
45071,5
45073,6
45075,5
45077,3
45079,3
45081,6
45083,3
45085,4
45087,6
45089,6
45091,2
46003,6
46005,5
46007,6
46009,6
46011,5
46013,5
46015,6
46017,6
46019,6
46021,6
46023,6
46025,6
46027,5
46029,5
46031,6
46033,6
46035,5
46037,6
46039,6
46041,6
46043,6
46045,6
46047,6
46049,6
46051,6
46053,6
46055,6
46057,6
46059,6
46061,6
46063,6
46065,5
46067,6
46069,6
46071,6
46073,6
46075,6
46077,6
46079,6
46081,6
46083,4
46085,6
46087,6
46089,6
46091,6
46093,6
46095,6
46097,6
46099,4
46101,6
46103,4
46105,6
46107,6
46109,6
46111,6
46113,6
46115,6
46117,6
46119,6
46121,6
46123,6
46125,6
46127,6
46129,6
46135,5
46137,6
47001,3
47003,5
47005,6
47007,6
47009,3
47011,5
47013,6
47015,6
47017,6
47019,3
47021,3
47023,6
47025,6
47027,6
47029,6
47031,5
47033,6
47035,6
47037,3
47039,6
47041,6
47043,3
47045,5
47047,2
47049,6
47051,5
47053,6
47055,6
47057,6
47059,5
47061,6
47063,5
47065,3
47067,6
47069,6
47071,6
47073,3
47075,5
47077,6
47079,6
47081,6
47083,6
47085,6
47087,6
47089,6
47091,6
47093,3
47095,6
47097,6
47099,5
47101,6
47103,6
47105,3
47107,5
47109,6
47111,6
47113,4
47115,3
47117,6
47119,5
47121,6
47123,6
47125,4
47127,6
47129,6
47131,5
47133,6
47135,6
47137,6
47139,6
47141,5
47143,6
47145,5
47147,3
47149,3
47151,6
47153,6
47155,3
47157,1
47159,6
47161,6
47163,3
47165,3
47167,2
47169,6
47171,3
47173,3
47175,6
47177,5
47179,3
47181,6
47183,6
47185,6
47187,3
47189,3
48001,5
48003,5
48005,5
48007,6
48009,4
48011,6
48013,6
48015,6
48017,6
48019,6
48021,3
48023,6
48025,5
48027,3
48029,1
48031,6
48033,6
48035,6
48037,4
48039,2
48041,4
48043,6
48045,6
48047,6
48049,5
48051,6
48053,6
48055,3
48057,5
48059,6
48061,3
48063,6
48065,6
48067,6
48069,6
48071,2
48073,5
48075,6
48077,6
48079,6
48081,6
48083,6
48085,2
48087,6
48089,6
48091,2
48093,6
48095,6
48097,5
48099,3
48101,6
48103,6
48105,6
48107,6
48109,6
48111,6
48113,1
48115,5
48117,5
48119,6
48121,2
48123,6
48125,6
48127,6
48129,6
48131,6
48133,6
48135,4
48137,6
48139,2
48141,3
48143,5
48145,6
48147,6
48149,6
48151,6
48153,6
48155,6
48157,2
48159,6
48161,6
48163,6
